year,keyword,frequency
2026,image enhancement,1
2020,"neural networks, computer",1
2022,"mice, inbred c57bl",1
2025,video games,1
2025,polycystic ovary syndrome,1
2023,infant,1
2025,ovarian neoplasms,1
2025,"reflex, stretch",1
2025,wrist fractures,1
2025,perfusion,1
2025,gadolinium,1
2021,beginning of human life,1
2022,aberrant crypt foci,1
2013,big data analytics,1
2016,algorithms,1
2018,adult,1
2025,programmed cell death 1 receptor,1
2025,communication,1
2025,polypharmacy,1
2025,metabolic syndrome,1
2025,malaria,1
2025,data compression,1
2025,canes,1
2014,big data analytics,1
2025,radioisotopes,1
2024,length of stay,1
2025,awareness,1
2026,prenatal diagnosis,1
2020,breast neoplasms,1
2026,leucine zippers,1
2024,neoplasm proteins,1
2025,lower body negative pressure,1
2017,"databases, factual",1
2023,"pattern recognition, automated",1
2025,sweden,1
2019,latin america,1
2025,nursing diagnosis,1
2025,neurosurgical procedures,1
2025,infrared rays,1
2021,adolescent,1
2025,neoadjuvant therapy,1
2023,network pharmacology,1
2025,amino acid sequence,1
2025,oxygen saturation,1
2025,bees,1
2025,spinal cord injuries,1
2025,drug synergism,1
2026,educational status,1
2026,intercellular signaling peptides and proteins,1
2025,hip joint,1
2025,cephalometry,1
2025,"scleroderma, systemic",1
2025,tissue engineering,1
2024,emotions,1
2019,malpractice,1
2025,delirium,1
2022,retrospective studies,1
2025,vectorcardiography,1
2024,germany,1
2025,hot temperature,1
2023,anemia,1
2024,entropy,1
2024,coronavirus infections,1
2026,food technology,1
2019,forecasting,1
2024,cross-sectional studies,1
2024,prognosis,1
2025,aortic dissection,1
2025,radiosurgery,1
2026,speech perception,1
2026,nasopharyngeal neoplasms,1
2019,cell proliferation,1
2019,diagnostic errors,1
2026,cyclin-dependent kinase inhibitor p21,1
2026,movement,1
2026,protein multimerization,1
2025,optical imaging,1
2026,"gait disorders, neurologic",1
2025,"surgical procedures, operative",1
2019,adult,1
2025,facial nerve,1
2025,"pacemaker, artificial",1
2025,radial artery,1
2025,respiratory insufficiency,1
2023,hesperidin,1
2025,"vaccines, virus-like particle",1
2024,"tomography, x-ray computed",1
2026,nutrition surveys,1
2025,knowledge bases,1
2025,pericardium,1
2025,preoperative care,1
2025,microwaves,1
2025,data analysis,1
2025,radiation monitoring,1
2026,aging,1
2025,iliac vein,1
2023,gene expression profiling,1
2025,health services needs and demand,1
2026,"radiotherapy, intensity-modulated",1
2025,canada,1
2026,"medicine, chinese traditional",1
2025,reference standards,1
2026,transcription factor ap-1,1
2025,glucose,1
2024,mining,1
2025,drug dosage calculations,1
2025,radiation exposure,1
2025,muscular diseases,1
2025,athletes,1
2025,ophthalmology,1
2025,replication origin,1
2022,st elevation myocardial infarction,1
2025,secondary metabolism,1
2025,orthopedic procedures,1
2024,"decision support systems, clinical",1
2024,semantics,1
2025,"fixation, ocular",1
2025,minimally invasive surgical procedures,1
2023,diabetes mellitus,1
2025,gentian violet,1
2026,"databases, genetic",1
2026,single-cell analysis,1
2025,area under curve,1
2024,tin,1
2025,triglycerides,1
2024,coping skills,1
2025,nurse's role,1
2024,"models, statistical",1
2024,peptides,1
2025,veterinarians,1
2023,east asian people,1
2024,dynamin ii,1
2026,proteomics,1
2024,phenotype,1
2025,urinary bladder neoplasms,1
2025,friedreich ataxia,1
2026,molecular dynamics simulation,1
2026,"aged, 80 and over",1
2025,acute pain,1
2025,counterpulsation,1
2024,drug repositioning,1
2024,drug delivery systems,1
2025,computer security,1
2024,incidence,1
2026,phosphorylation,1
2025,liver transplantation,1
2017,phenotype,1
2025,saccades,1
2025,pharyngeal neoplasms,1
2025,chloride channels,1
2024,drug design,1
2024,"pneumonia, viral",1
2025,stomach,1
2025,intracranial aneurysm,1
2016,"translational research, biomedical",1
2017,female,1
2023,chemometrics,1
2025,"pregnancy trimester, second",1
2025,"burnout, professional",1
2024,proteomics,1
2025,clinical decision-making,1
2025,skin diseases,1
2025,extraterrestrial environment,1
2024,linkage disequilibrium,1
2025,radiation pneumonitis,1
2025,acute disease,1
2025,disability-adjusted life years,1
2024,hospitals,1
2025,fovea centralis,1
2026,vitis,1
2021,"child, preschool",1
2022,mass spectrometry,1
2025,confidentiality,1
2025,drug development,1
2025,"colitis, ulcerative",1
2025,venous thrombosis,1
2024,genetic predisposition to disease,1
2026,biological availability,1
2025,frontotemporal lobar degeneration,1
2025,pharmacoepidemiology,1
2025,lumbar vertebrae,1
2023,sheep,1
2025,ribosomes,1
2025,scoliosis,1
2024,lipidomics,1
2026,mammography,1
2025,phase transition,1
2019,internet,1
2026,large language models,1
2023,length of stay,1
2023,phylogeny,1
2025,candida,1
2024,patient safety,1
2025,cataract,1
2025,vocal cords,1
2024,environmental monitoring,1
2025,connectome,1
2017,prognosis,1
2025,electric stimulation,1
2025,"evolution, molecular",1
2025,internship and residency,1
2025,staining and labeling,1
2025,methicillin-resistant staphylococcus aureus,1
2017,medical oncology,1
2026,stroke rehabilitation,1
2025,hydrogen-ion concentration,1
2025,multivariate analysis,1
2025,breeding,1
2025,circadian rhythm,1
2025,transfusion reaction,1
2025,safety-net providers,1
2026,"ultrasonography, mammary",1
2025,"rna processing, post-transcriptional",1
2016,systems integration,1
2025,detection algorithms,1
2025,endodontics,1
2026,inflammation,1
2026,united kingdom,1
2019,mammography,1
2025,electromagnetic fields,1
2019,"hospitals, pediatric",1
2026,"databases, factual",1
2025,eczema,1
2026,"child, preschool",1
2018,machine learning,1
2025,patient satisfaction,1
2022,adult,1
2025,stroke volume,1
2024,mutation,1
2025,sex determination by skeleton,1
2025,cognition,1
2025,facial expression,1
2022,genomics,1
2025,homes for the aged,1
2022,taurine,1
2025,asian people,1
2023,mendelian randomization analysis,1
2024,periodicals as topic,1
2025,smell,1
2025,metabolic networks and pathways,1
2025,fermentation,1
2025,x-rays,1
2025,hemoglobins,1
2017,medical informatics,1
2025,biometric identification,1
2025,nasopharyngeal carcinoma,1
2025,drug monitoring,1
2026,food safety,1
2025,alcohol drinking,1
2020,prospective studies,1
2025,colon,1
2025,dimensionality reduction,1
2025,suicide,1
2025,cerebral arteries,1
2025,comprehension,1
2025,"pregnancy trimester, first",1
2025,"drug evaluation, preclinical",1
2024,respiratory distress syndrome,1
,artificial intelligence,1
2020,female,1
2025,"vocabulary, controlled",1
2025,risk management,1
2026,protein folding,1
2016,information storage and retrieval,1
2025,dyslexia,1
2011,big data,1
2026,tooth,1
2022,phospholipids,1
2026,vascular surgical procedures,1
2026,prognosis,1
2026,"cardiomyopathy, dilated",1
2025,corpus callosum,1
2025,sleep wake disorders,1
2025,anti-arrhythmia agents,1
2025,dna replication,1
2025,beds,1
2025,los angeles,1
2020,proteins,1
2022,colon,1
2025,england,1
2025,interviews as topic,1
2024,archives,1
2025,"evoked potentials, visual",1
2025,rna-binding proteins,1
2026,malocclusion,1
2026,"genes, mitochondrial",1
2024,electronic prescribing,1
2025,energy metabolism,1
2026,computer literacy,1
2018,"education, medical, graduate",1
2025,anterior eye segment,1
2024,pollination,1
2025,potassium channel blockers,1
2026,non-alcoholic fatty liver disease,1
2025,warfarin,1
2020,adult,1
2026,nursing care,1
2025,electrooculography,1
2025,multilingualism,1
2025,"ultrasonography, prenatal",1
2023,"infant, newborn",1
2025,gravitation,1
2021,aortic aneurysm,1
2026,apoptosis,1
2025,subthalamic nucleus,1
2025,myocardial ischemia,1
2025,luminescent measurements,1
2025,intracranial pressure,1
2018,diffusion of innovation,1
2025,anisotropy,1
2025,maternal mortality,1
2025,"aphasia, primary progressive",1
2025,nervous system diseases,1
2025,tympanic membrane,1
2016,computer simulation,1
2017,health care sector,1
2025,endosonography,1
2025,stat4 transcription factor,1
2026,intensive care units,1
2026,polycystic ovary syndrome,1
2025,conservation of natural resources,1
2025,population surveillance,1
2025,"nerve fibers, unmyelinated",1
2025,grassland,1
2025,age factors,1
2025,arteries,1
2021,delivery of health care,1
2017,proteomics,1
2018,animals,1
2025,"suicide, attempted",1
2025,idiopathic pulmonary fibrosis,1
2021,aged,1
2026,"signal processing, computer-assisted",1
2025,employment,1
2025,"electrodes, implanted",1
2023,milk,1
2025,kangaroo-mother care method,1
2019,food inspection,1
2020,hearing,1
2025,"outcome assessment, health care",1
2025,public opinion,1
2017,computed tomography angiography,1
2018,"infant, very low birth weight",1
2025,vancomycin,1
2025,neurofibroma,1
2025,aminolevulinic acid,1
2025,pharmacovigilance,1
2025,insurance claim review,1
2025,indonesia,1
2025,educational measurement,1
2025,drug repositioning,1
2024,pandemics,1
2025,developmental disabilities,1
2020,calcinosis,1
2021,child,1
2025,ankle,1
2019,animals,1
2026,cell adhesion,1
2024,burkina faso,1
2017,animals,1
2024,global health,1
2025,safety management,1
2024,pollen,1
2025,tibial fractures,1
2016,pediatrics,1
2023,phosphatidylinositol 3-kinases,1
2025,spine,1
2025,assisted living facilities,1
2024,stroke,1
2019,aged,1
2022,covid-19 vaccines,1
2026,graft rejection,1
2023,prospective studies,1
2025,anesthesia,1
2025,medical record linkage,1
2026,multiomics,1
2018,crispr-cas systems,1
2023,diabetic retinopathy,1
2024,"genome, plant",1
2020,algorithms,1
2020,health policy,1
2025,muscles,1
2025,"aortic aneurysm, abdominal",1
2026,disability-adjusted life years,1
2024,precision medicine,1
2026,chlorophyll a,1
2023,risk factors,1
2025,"sequence analysis, protein",1
2025,italy,1
2025,nonprescription drugs,1
2025,"gait disorders, neurologic",1
2025,finite element analysis,1
2025,phonetics,1
2025,cerebral palsy,1
2025,chromatin,1
2025,oral medicine,1
2024,covid-19 drug treatment,1
2025,shoulder,1
2026,polymers,1
2025,cerebellum,1
2022,eye diseases,1
2018,age factors,1
2025,pharmacokinetics,1
2025,perinatal care,1
2025,demography,1
2016,user-computer interface,1
2025,sound localization,1
2025,enzymes,1
2023,mitogen-activated protein kinase 14,1
2021,aortic dissection,1
2022,lipid metabolism,1
2022,genome,1
2026,data analysis,1
2026,chronic disease,1
2026,thinness,1
2025,mosquito vectors,1
2025,reminder systems,1
2026,depression,1
2024,protein transport,1
2025,helicobacter infections,1
2024,data visualization,1
2025,dermoscopy,1
2026,internet,1
2017,cost savings,1
2024,"drugs, chinese herbal",1
2025,industrial microbiology,1
2025,"lupus erythematosus, systemic",1
2026,delirium,1
2025,calcium sulfate,1
2025,tibet,1
2025,computer systems,1
2026,adolescent,1
2026,quantitative phase imaging,1
2025,touch,1
2024,disability-adjusted life years,1
2024,population dynamics,1
2025,phase separation,1
2025,5-aminolevulinate synthetase,1
2020,brain,1
2025,encyclopedias as topic,1
2025,white people,1
2026,convolutional neural networks,1
2026,global burden of disease,1
2023,hydrogen sulfide,1
2024,digital health,1
2019,cell cycle proteins,1
2025,signal transduction,1
2025,sitting position,1
2025,learning,1
2025,biopsy,1
2025,urban health,1
2026,bibliometrics,1
2019,infections,1
2025,drinking,1
2025,"arthroplasty, replacement, hip",1
2025,state medicine,1
2025,perfusion imaging,1
2026,laryngeal neoplasms,1
2025,trachea,1
2025,metals,1
2025,diffusion,1
2025,vascular calcification,1
2025,"endoscopy, gastrointestinal",1
2026,workflow,1
2025,crowdsourcing,1
2025,lysine,1
2025,teaching materials,1
2017,genetic predisposition to disease,1
2025,new york,1
2025,"rna, competitive endogenous",1
2025,"pancreatitis, acute necrotizing",1
2026,holography,1
2025,decision making,1
2025,"arthroplasty, replacement, shoulder",1
2025,eutrophication,1
2025,cerebrospinal fluid,1
2025,acute coronary syndrome,1
2023,cytochrome p-450 enzyme system,1
2025,systematized nomenclature of medicine,1
2025,clinical competence,1
2025,interleukin-2,1
2026,diffusion tensor imaging,1
2024,multiple myeloma,1
2025,developmental dysplasia of the hip,1
2025,"hip dislocation, congenital",1
2025,headache,1
2025,taiwan,1
2020,mammography,1
2021,disruptive technology,1
2025,acetylation,1
2025,dental caries,1
2025,drug misuse,1
2025,electric power supplies,1
2025,temporomandibular joint,1
2025,space flight,1
2026,environmental monitoring,1
2023,sars-cov-2,1
2025,hippocampus,1
2022,biomedical research,1
2025,international classification of diseases,1
2025,switzerland,1
2024,soil pollutants,1
2019,breast neoplasms,1
1986,artificial intelligence,1
2026,anatomic landmarks,1
2025,linear models,1
2025,brazil,1
2024,biomedical research,1
2025,intelligence,1
2018,"outcome assessment, health care",1
2025,track and field,1
2025,light,1
2026,breast neoplasms,1
2022,electronic health records,1
2025,spinal fractures,1
2025,fluorodeoxyglucose f18,1
2019,evidence-based practice,1
2025,vibration,1
2026,muscle strength,1
2025,intraoperative care,1
2024,breast neoplasms,1
2017,predictive value of tests,1
2018,teaching rounds,1
2025,protein kinase inhibitors,1
2025,surgical instruments,1
2025,biomimetics,1
2025,neck,1
2025,cleft lip,1
2025,hyperspectral imaging,1
2017,web browser,1
2025,staphylococcal infections,1
2025,"stress, psychological",1
2025,organs at risk,1
2019,food services,1
2020,brain neoplasms,1
2023,plant proteins,1
2024,antiviral agents,1
2025,handwriting,1
2025,yeasts,1
2026,neurodegenerative diseases,1
2022,social media,1
2025,fibronectins,1
2025,"pregnancy trimester, third",1
2025,age determination by skeleton,1
2025,"magnetic resonance imaging, cine",1
2025,frontotemporal dementia,1
2019,cross-sectional studies,1
2025,registries,1
2026,signal-to-noise ratio,1
2025,latin america,1
2025,mouth neoplasms,1
2024,publications,1
2017,intraocular pressure,1
2018,organ size,1
2025,hand strength,1
2023,setaria plant,1
2023,"polymorphism, single nucleotide",1
2025,erg1 potassium channel,1
2026,social determinants of health,1
2026,ferroptosis,1
2025,psychotic disorders,1
2025,neurophysiology,1
2024,genetic therapy,1
2026,high-throughput screening assays,1
2025,metabolome,1
2018,needs assessment,1
2026,ankle joint,1
2025,chiropractic,1
2023,peptidyl-dipeptidase a,1
2025,cardiotoxicity,1
1980,artificial intelligence,1
2025,drug combinations,1
2024,delivery of health care,1
2017,gene expression profiling,1
2025,anxiety,1
2025,"radiography, dual-energy scanned projection",1
2020,protein conformation,1
2025,breath tests,1
2025,metaplasia,1
2025,intestinal mucosa,1
2026,rivers,1
2025,trpv cation channels,1
2026,nasopharyngeal carcinoma,1
2025,pulmonary emphysema,1
2023,quercetin,1
2025,actigraphy,1
2025,electroretinography,1
2025,"tachycardia, ventricular",1
2019,vocational education,1
2022,"child, preschool",1
2025,vaccines,1
2025,hip prosthesis,1
2024,workflow,1
2024,"biomarkers, tumor",1
2023,cystathionine gamma-lyase,1
2025,cross-over studies,1
2026,fermentation,1
2026,"drugs, chinese herbal",1
2017,computer simulation,1
2023,genomics,1
2024,herbivory,1
2020,computational biology,1
2025,bronchiectasis,1
2026,eutrophication,1
2025,"arthroplasty, replacement, knee",1
2025,cervical vertebrae,1
2025,"pneumonia, ventilator-associated",1
2025,ventricular premature complexes,1
2026,cell membrane,1
2022,computational biology,1
2025,cell differentiation,1
2024,bees,1
2025,melanocytes,1
2025,principal component analysis,1
2024,nursing research,1
2025,retinal ganglion cells,1
2024,global burden of disease,1
2026,speech intelligibility,1
2026,"radiography, panoramic",1
2026,gastrointestinal neoplasms,1
2018,developing countries,1
2025,rna-seq,1
2026,pupil,1
2021,robotics,1
2026,rna-binding proteins,1
2025,thyroid gland,1
2025,plasmids,1
2025,hospitals,1
2025,esophageal neoplasms,1
2026,breast,1
2024,quality-adjusted life years,1
2026,functional food,1
2019,"models, statistical",1
2023,enhanced recovery after surgery,1
2025,hypokinesia,1
2025,meningioma,1
2017,signal transduction,1
2017,oligonucleotide array sequence analysis,1
2025,infection control,1
2025,dysphonia,1
2025,phenazines,1
2024,psychological well-being,1
2019,"adenocarcinoma, follicular",1
2025,stents,1
2025,cerebrovascular disorders,1
2025,binding sites,1
2020,software,1
2020,aged,1
2026,natural language processing,1
2026,network pharmacology,1
2025,patellar dislocation,1
2016,datasets as topic,1
2016,databases as topic,1
2017,"glaucoma, open-angle",1
2018,data science,1
2021,data science,1
2022,mice,1
2026,radiometry,1
2024,grasshoppers,1
2025,uveal melanoma,1
2025,sexism,1
2026,adenocarcinoma of lung,1
2025,cerebral hemorrhage,1
2025,voice,1
2025,pongo,1
2025,"ultrasonography, mammary",1
2025,qualitative research,1
2025,lymphatic metastasis,1
2022,united states,1
2026,sarcopenia,1
2026,endometrial neoplasms,1
2025,rare diseases,1
2021,anti-bacterial agents,1
2022,precision medicine,1
2026,heart failure,1
2024,"epitopes, b-lymphocyte",1
2025,protein engineering,1
2019,food handling,1
2025,voting,1
2024,gene frequency,1
2025,pulmonary embolism,1
2025,altitude,1
2025,unmanned aerial devices,1
2025,self-management,1
2025,"thyroid cancer, papillary",1
2022,child,1
2022,cross-sectional studies,1
2025,documentation,1
2026,"radiography, thoracic",1
2026,cochlear implants,1
2025,"practice patterns, physicians'",1
2025,sarcopenia,1
2025,tibial plateau fractures,1
2025,urinary bladder,1
2024,acetaminophen,1
2025,vitamin k epoxide reductases,1
2026,veterinary medicine,1
2025,ethylenes,1
2025,sympathetic nervous system,1
2025,ovulation,1
2025,"prediction methods, machine",1
2024,"metals, heavy",1
2024,middle aged,1
2025,heart arrest,1
2025,macaca mulatta,1
2026,multiple myeloma,1
2025,amyloid beta-peptides,1
2025,celiac disease,1
2021,male,1
2025,critical pathways,1
2025,transducers,1
2016,commerce,1
2018,access to information,1
2023,semantics,1
2025,"constriction, pathologic",1
2026,equipment design,1
2016,disease,1
2025,circle of willis,1
2025,emergency medical services,1
2025,australia,1
2025,datasets as topic,1
2018,software,1
2023,interleukin-10,1
2025,mexico,1
2025,cities,1
2025,deafness,1
2025,speech recognition software,1
2026,pregnancy,1
2026,myopia,1
2026,"societies, veterinary",1
2025,seasons,1
2018,base composition,1
2025,music,1
2026,drug delivery systems,1
2019,"emergency service, hospital",1
2025,silicosis,1
2022,"epigenesis, genetic",1
2024,accidental falls,1
2025,"range of motion, articular",1
2024,lipids,1
2025,cats,1
2025,sound,1
2026,biomechanical phenomena,1
2023,language,1
2023,female,1
2025,interferon-gamma,1
2026,noise,1
2025,"mice, inbred balb c",1
2026,mental disorders,1
2026,"radiographic image interpretation, computer-assisted",1
2017,computational biology,1
2018,cerebral cortex,1
2025,nonlinear dynamics,1
2025,muscle contraction,1
2022,sentiment analysis,1
2026,necroptosis,1
2025,epidemiologic studies,1
2025,neonatal sepsis,1
2023,adiponectin,1
2024,nanoparticles,1
2026,cross-sectional studies,1
2021,cross-sectional studies,1
2017,algorithms,1
2017,healthy volunteers,1
2025,hallucinations,1
2023,united nations,1
2024,"kidney failure, chronic",1
2026,precancerous conditions,1
2025,whole body imaging,1
2021,infant,1
2025,rivers,1
2025,multiple myeloma,1
2024,fruit,1
2023,cystathionine beta-synthase,1
2025,evoked potentials,1
2022,non-st elevated myocardial infarction,1
2025,"genome, bacterial",1
2025,corneal diseases,1
2025,megakaryocytes,1
2013,big data,1
2022,sars-cov-2,1
2025,prosthesis failure,1
2025,persons with disabilities,1
2017,datasets as topic,1
2025,mental health,1
2025,forests,1
2024,awareness,1
2025,case-control studies,1
2026,cdc2 protein kinase,1
2025,prostheses and implants,1
2024,data analysis,1
2019,male,1
2019,information storage and retrieval,1
2025,neoplasm invasiveness,1
2018,morbidity,1
2025,mandible,1
2024,knowledge,1
2020,protein binding,1
2019,cell cycle,1
2026,rats,1
2025,"elements, radioactive",1
2025,musculoskeletal diseases,1
2025,publication bias,1
2026,lung neoplasms,1
2025,"rna, long noncoding",1
2025,international agencies,1
2025,proprioception,1
2025,heart valve diseases,1
2025,knee joint,1
2026,time factors,1
2025,isocitrate dehydrogenase,1
2023,photochemistry,1
2019,breast,1
2025,brachial artery,1
2025,insulin,1
2025,poaceae,1
2024,neoplasms,1
2025,spinal stenosis,1
2025,spinal fusion,1
2025,scalp,1
2025,nociception,1
2025,ultraviolet rays,1
2023,salivation,1
2024,proteins,1
2025,incidence,1
2026,diffusion,1
2025,paralysis,1
2026,child,1
2017,proteome,1
2025,phosphorus,1
2025,candidemia,1
2025,macular edema,1
2025,workplace,1
2025,learning disabilities,1
2025,hypothyroidism,1
2025,recurrent neural networks,1
2026,drug discovery,1
2025,macular degeneration,1
2025,crispr-cas systems,1
2025,color vision defects,1
2025,universities,1
2020,breast,1
2021,fluoroquinolones,1
2025,disease,1
2025,hypovolemia,1
2025,cardiopulmonary resuscitation,1
2024,benchmarking,1
2025,respiratory therapy,1
2025,frail elderly,1
2016,delivery of health care,1
2025,angiography,1
2025,radiation dosage,1
2025,augmented reality,1
2023,zea mays,1
2025,out-of-hospital cardiac arrest,1
2025,"adaptation, physiological",1
2019,boston,1
2026,aurora kinase a,1
2016,database management systems,1
2026,gastrointestinal tract,1
2026,digital technology,1
2024,protein interaction maps,1
2025,glomerular filtration rate,1
2025,gastrointestinal neoplasms,1
2025,communication devices for people with disabilities,1
2025,electric stimulation therapy,1
2026,"rats, long-evans",1
2022,azoxymethane,1
2025,lung volume measurements,1
2025,hair,1
2025,glycerylphosphorylcholine,1
2024,diet,1
2018,genome,1
2025,bias,1
2025,back,1
2025,liver diseases,1
2019,decision making,1
2021,amoxicillin,1
2017,gene expression regulation,1
2026,aortic coarctation,1
2026,alzheimer disease,1
2025,"pemphigoid, bullous",1
2026,"surgery, computer-assisted",1
2024,nursing records,1
2025,rehabilitation,1
2025,cost of illness,1
2023,covid-19,1
2025,"education, medical, graduate",1
2025,disease management,1
2024,amino acid sequence,1
2023,roc curve,1
2024,urinary bladder neoplasms,1
2025,"epilepsy, temporal lobe",1
2025,dry powder inhalers,1
2025,communicable disease control,1
2025,sleep quality,1
2025,soccer,1
2025,tissue scaffolds,1
2025,laparoscopy,1
2025,ankle injuries,1
2025,"crystallography, x-ray",1
2019,food safety,1
2025,genetic variation,1
2025,respiratory protective devices,1
2025,terminology as topic,1
2017,"data interpretation, statistical",1
2025,"communicable diseases, emerging",1
2025,volleyball,1
2023,biodiversity,1
2023,cattle,1
2022,male,1
2025,lipid metabolism,1
2025,"otitis media, suppurative",1
2025,qatar,1
2025,exercise test,1
2026,contrast media,1
2025,genetic algorithms,1
2025,chlorophyll,1
2025,vision disorders,1
2016,access to information,1
2025,"conditioning, classical",1
2025,skull,1
2025,virion,1
2025,autonomic nervous system,1
2026,robotic surgical procedures,1
2018,geriatrics,1
2025,affect,1
2025,esthetics,1
2022,hospital mortality,1
2023,liver cirrhosis,1
2025,lymph nodes,1
2025,genetic markers,1
2025,mass screening,1
2017,hospitals,1
2025,fetal blood,1
2025,nasopharyngeal neoplasms,1
2025,olfactory perception,1
2025,stochastic processes,1
2025,gastric mucosa,1
2026,tooth movement techniques,1
2026,"ethics, nursing",1
2025,tooth root,1
